id,severity,angle,file,line,evidence,impact,recommendation,risk,validation,status
RV-023,high,domain-durability,"server/src/jobs/shutdown.ts; server/src/db/database.ts; server/src/jobs/maintenance.ts; server/test/integration/runtime-shutdown.test.ts","18;298;63;49","Shutdown quiesces ingress first, cancels/drains active backup work, uses a 250ms best-effort WAL checkpoint and releases storage/lease; a real external reader pins WAL in the process test.","A 5s SQLite busy timeout or active backup could make SIGTERM miss launchd's lifecycle budget.","Bound checkpoint time, make backups abortable and preserve recoverable WAL when busy.","Forced termination during shutdown and delayed recovery.","Node 22 real-process held-reader and active-SSE shutdown tests passed within the five-second contract.",RESOLVED
RV-024,high,domain-durability,"server/src/jobs/backups.ts; server/src/db/database.ts; server/test/database-backup.test.ts","182;255;123","A verified temporary snapshot is prepared before atomic replacement; corrupt regular files are hard-linked to quarantine, corrupt symlinks are copied without following targets, and replacement rollback removes quarantine safely.","Moving the corrupt canonical first leaves a missing-backup gap; following a symlink could modify an external target.","Verify before replace and preserve the old inode/link without removing the canonical path.","Loss of the last backup or external-file mutation.","Node 22 corrupt-file, corrupt-symlink and swapped-directory backup tests passed.",RESOLVED
RV-025,high,domain-durability,"server/src/jobs/backups.ts; server/src/jobs/maintenance.ts; server/test/database-backup.test.ts","67;29;223","Backup due-ness uses the latest due 03:30 date, ignores future-dated snapshots, and maintenance tracks the last attempted schedule rather than a pre-due clock tick.","A restart before 03:30 followed by a later tick could skip the day's backup; future files could suppress it.","Calculate the latest due calendar date in the configured timezone and retry corrupt/missing schedules.","Silent gaps in daily recovery points.","Node 22 02:00-to-04:00 catch-up and future-snapshot regressions passed.",RESOLVED
RV-026,high,domain-durability,"server/src/db/database.ts; server/src/db/migrations.ts; server/test/database-backup.test.ts","112;1;31","Numbered SQL migrations ship with the compiled CLI; startup rejects unknown, non-contiguous or checksum-drifted history and takes a verified online pre-migration backup.","Source/build drift or accepting a future schema can run incompatible code against the database.","Validate a contiguous known migration prefix and package the SQL assets.","Schema corruption or incompatible downgrade.","Node 22 migration, future-history and compiled-CLI asset tests passed.",RESOLVED
RV-027,high,domain-durability,"server/src/domain/journal.ts; server/test/domain.test.ts","2112;544","Export runs all table reads inside one SQLite read transaction and validates JournalExportV1; import validates cross-references, month collection rules and saved-summary references before commit.","Concurrent writes can produce a torn export; invalid references can create unrecoverable imported state.","Snapshot and schema-validate export; preflight all referential invariants on import.","Non-lossless portability or corrupt imported journal.","Node 22 round-trip, write-between-reads and broken-reference tests passed.",RESOLVED
RV-028,medium,domain-durability,"server/src/domain/journal.ts; server/test/domain.test.ts","1553;429","Saving a Summary repairs a soft-deleted saved note rather than reusing an invalid deleted row; rewrite/relink remains revision-checked.","A Summary could point at a deleted entry and appear saved when no visible note exists.","Relink or recreate the saved note inside the Summary transaction.","Broken Summary lifecycle and false UI status.","Node 22 deleted-summary-note regression passed.",RESOLVED
RV-029,medium,domain-durability,"server/src/db/database.ts; server/src/domain/journal.ts; server/test/domain.test.ts","407;554;380","Search normalizes NFC and uses a deterministic Unicode lower function for permissive substring matching in addition to FTS candidates.","ASCII-only lowercasing misses valid case-insensitive Unicode matches.","Use Unicode-aware normalization/lowercasing at the SQL fallback boundary.","Incorrect search results for non-ASCII journal text.","Node 22 Unicode substring regression passed.",RESOLVED
RV-030,high,domain-durability,"server/src/private-path.ts; server/src/db/database.ts; server/test/database-backup.test.ts","17;413;282","Existing data/backup/log directories must already be real, current-user-owned and owner-private; missing dedicated directories/files are created 0700/0600 without chmod of broad existing paths.","A configuration typo could chmod a shared directory or expose database/WAL/lease material.","Refuse broad, symlinked, foreign-owned or permissive existing targets; harden only newly created app paths and private files.","Host permission damage or journal disclosure.","Node 22 broad-directory, symlink and umask file-mode regressions passed.",RESOLVED
RV-031,high,domain-durability,"server/src/cli.ts; server/src/db/database.ts; server/test/cli.test.ts","131;71;45","check/export/backup use readonly fileMustExist connections with migrations disabled; output canonicalization rejects database, WAL/SHM, backups, logs, hardlinks and symlink aliases.","A supposedly safe inspection could create/migrate/checkpoint an empty database or overwrite a control file.","Separate readonly CLI construction and reject all canonical control-path aliases before writing.","Unexpected production mutation or data overwrite.","Node 22 missing/table-less DB, live-writer and output-alias tests passed.",RESOLVED
RV-032,critical,domain-durability,"server/src/jobs/launchd.ts; server/test/install-service.test.ts","121;104","The installer validates executable Node/regular CLI, takes a disjoint private install lock, lints a temporary plist, atomically replaces, verifies launchctl adoption and explicitly reports rollback cleanup failures.","Concurrent or partial launchd installation can leave the old job stopped, a bad plist installed or ownership ambiguous.","Serialize install, validate before bootout, restore exact prior plist/job and fail on incomplete cleanup.","Service outage or adoption of the wrong runtime.","Node 22 install-service suite passed atomic replace, failure injection, concurrent lock and rollback cases.",RESOLVED
RV-033,high,runtime-failures,"server/src/index.ts; server/test/integration/runtime-shutdown.test.ts","223;49","Runtime composition owns partially created database/domain/Vite/application values and attempts every cleanup on startup failure; normal close is idempotent.","A dynamic-import or constructor failure could leak the lease, database or Vite server.","Create resources inside one cleanup boundary and preserve the original error while best-effort closing all acquired resources.","Stuck writer lease and failed restart.","Node 22 full server suite passed including runtime shutdown/startup paths.",RESOLVED
RV-034,high,release-contracts,"package.json; .nvmrc; playwright.config.ts; e2e/accessibility.spec.ts","7;1;15;19","Runtime support is exactly Node 22.19.x, CI enables forbidOnly/fail-on-flaky behavior, and axe runs every primary view plus Assistant access at narrow and wide viewports.","Overbroad Node support or partial/flaky browser gates can certify an untested release.","Pin the release runtime and make full accessibility/flaky detection release-blocking.","False green release on another ABI/runtime or untested view.","Final clean Node 22.19.0 preparation passed; CI-mode Playwright completed 31 tests with 6 intentional project-inapplicable skips.",RESOLVED
RV-035,critical,release-contracts,"scripts/release-prepare.zsh; scripts/release-manifest.mjs; scripts/release-stage.zsh","85;111;25","Preparation clean-installs/tests/benchmarks before sealing exact dirty-tree bytes/modes/toolchain; staging verifies hashes, rejects toolchain drift, installs production dependencies and makes the tree immutable.","Deploying from a mutable checkout or rebuilding after browser tests can run bytes that were never verified.","Archive the browser-tested bundle into a manifest-bound immutable stage and execute staged helpers thereafter.","Unreviewed or ABI-incompatible production deployment.","All 88/88 release-tool tests passed; final promotion revalidated immutable deployed-tree SHA 72b16666b885f3d38842a185488a3fff77b1581ef3b3b7767f0f2a7623917560 and the exact manifest/archive hashes.",RESOLVED
RV-036,critical,release-contracts,"scripts/release-cutover.zsh; scripts/release-serve-config.mjs; scripts/release-verify-runtime.mjs","31;89;163","Cutover is mode-aware and self-restoring; verifiers compare the complete Serve config, protect exact :443, require only the :5178 delta, one launchd PID/listener, health version and exact served asset bytes.","A weak cutover can overwrite unrelated Serve handlers or claim success while old bytes/PID still serve.","Capture exact pre-state, mutate only owned surfaces, verify adoption and restore exact pre-state on failure.","Collateral service outage or false deployment success.","Live rehearsal and final cutover passed: exact launchd PID/listener and asset adoption were proved, :443 was unchanged and the complete Serve comparison found zero collateral change.",RESOLVED
RV-037,high,release-contracts,"scripts/release-backup-drill.mjs; scripts/release-ledger.mjs; scripts/release-promote.mjs","164;1;345","Promotion requires a unique fresh 0600 online backup restored through staged check/export, a machine-green release ledger and immutable evidence before atomically moving current-release.","A same-day reused backup or narrative-only checklist can allow promotion without recoverability proof.","Bind restore-tested backup and every acceptance result to the release context and revalidate at promotion.","Unrecoverable release or unsupported compliance claim.","A unique mode-0600 backup passed quick_check, staged CLI check and export validation; the 83-gate ledger was revalidated during atomic promotion.",RESOLVED
RV-038,high,release-contracts,"scripts/release-lifecycle.zsh; scripts/release-promote.mjs","253;873","Lifecycle evidence binds distinct initial, post-SIGTERM and post-SIGKILL PIDs, signals, durations and fresh runtime/asset proofs; promotion rejects incoherent identity.","A restart command can report success while the old process remains or recovery exceeds five seconds.","Target exact PIDs and verify a distinct healthy replacement after each signal.","Unproven crash recovery.","Final launchd lifecycle evidence passed: SIGTERM replaced PID 19546 with 19790 in 62.727ms; SIGKILL replaced PID 19790 with 20167 in 62.745ms; both replacements were healthy and exact-release-bound.",RESOLVED
RV-039,high,release-contracts,"scripts/release-cutover.zsh; scripts/release-promote.mjs; scripts/release-tools.test.mjs","57;193;586","Rollback validates context/pointer/evidence before mutation; a successful rollback leaves terminal evidence/lock and the same context cannot roll back again or promote.","Reusing a terminal context can mutate a newer installation or create conflicting ownership claims.","Serialize terminal operations and reject rollback/promotion after terminal evidence.","Rollback of the wrong release or split promotion ownership.","Live first-install apply/verify/rollback rehearsal restored the exact Serve baseline and wrote terminal ownership evidence; final promotion then wrote its own terminal lock and atomic pointer evidence.",RESOLVED
RV-040,low,docs-contracts,"docs/specs/SPEC-01-architecture.md; README.md; docs/operations.md","58;1;1","Architecture inventory, exact Node/Tailnet surface and fail-closed operator flow now match the implemented packages and release helpers.","Stale docs can direct operators to unsafe manual deployment or nonexistent layout.","Treat specs/runbook as release-bound contract and validate referenced commands/files.","Operator error and unsupported release claims.","The final release preparation sealed these exact documentation and source bytes into the immutable tree.",RESOLVED
RV-041,note,scope-contract,"docs/PRD.md; docs/verification.md","300;13","P2 advanced migration shortcuts and multi-journal/archive/Markdown export are explicitly excluded; only versioned lossless JSON portability remains included.","Treating deferred P2 as an implementation gap would expand scope and destabilize v1.","Record the exclusion in the ledger while testing DM-20 JSON portability.","Accepted deferred functionality, not a defect.","Domain JSON round-trip tests passed; ledger rows remain P2 EXCLUDED.",EXCLUDED-P2
RV-042,note,scope-contract,"server/src/mcp/server.ts; docs/specs/SPEC-06-mcp-server.md","287;224","The product intentionally has exactly seven MCP tools, five automatic writes, two reads, an empty compatibility proposals resource and no proposal queue or installed scheduler.","Adding a proposal system or scheduler would contradict the approved product boundary.","Keep automation explicit in the MCP contract and weekly skill while leaving scheduling to the invoking agent.","Accepted product decision.","Exact-seven transport test and process/release inspection gate cover this boundary.",ACCEPTED-SCOPE
RV-043,note,ui-accessibility,"docs/specs/SPEC-05-pwa.md; docs/verification.md","237;164","Seven physical-iPhone standalone checks are explicitly assigned to the owner; no simulator/desktop result is represented as device certification.","Claiming a physical pass without a named device/iOS/account is false evidence.","Create release-bound DEVICE HANDOFF evidence with assignee, checklist reference and notes; accept PASS only with device provenance.","Residual physical-device compatibility remains owner-verified.","Final device evidence is release-bound, references SPEC-05 section 8, assigns all seven checks to Robert and explicitly claims no device pass.",DEVICE-HANDOFF
RV-044,medium,ui-accessibility,"app/src/components/Dialog.tsx; app/src/components/Dialog.test.tsx; e2e/journal.spec.ts","47;59;310","Topmost dialogs trap Tab/Shift-Tab from panel or background, preserve focus on rerender and restore the opener on close.","Keyboard focus could escape behind a modal or be stolen after a late route render.","Own a dialog stack and stable focus lifecycle; avoid refocusing the day view after first selection.","Keyboard and screen-reader navigation failure.","Node 22 component tests passed; production Playwright focus scenario passed in the implementation gate.",RESOLVED
RV-045,medium,ui-accessibility,"app/src/views/MonthView.tsx; app/src/views/MonthView.test.tsx","113;32","The visual calendar is an accurately labelled group of day buttons rather than an incomplete ARIA grid; blank cells are hidden.","A partial grid pattern announces misleading row/column semantics.","Use native buttons with complete labels unless full keyboard-grid interaction is implemented.","Confusing assistive-technology navigation.","Node 22 MonthView semantics tests passed.",RESOLVED
RV-046,medium,ui-accessibility,"app/src/components/MigrationDialog.tsx; app/src/components/MigrationDialog.test.tsx","38;33","Migration waits for each mutation, announces pending/failure/next state and focuses the next task only after success.","Announcing progress before commit can tell assistive users an action succeeded when it failed.","Await the operation before advancing the queue and live region.","False completion feedback.","Node 22 MigrationDialog async/failure tests passed.",RESOLVED
RV-047,medium,ui-accessibility,"app/src/styles/views.css; app/src/styles/components.css; e2e/responsive.spec.ts","136;533;97","Calendar navigation/day cells, search input and mobile/coarse interactive controls retain at least 40px hit targets down to 320px.","Compressed calendar/search controls could fall below the approved mobile target.","Give key controls explicit min dimensions and audit computed boxes at narrow widths.","Touch usability and WCAG target-size failure.","Final app unit suite and CI-mode Playwright responsive audit passed at narrow widths.",RESOLVED
RV-048,medium,ui-accessibility,"app/src/components/SearchDialog.tsx; app/src/components/SearchDialog.test.tsx","39;8","Remote failure is labeled 'Search unavailable' and downloaded-only matches/empty state are distinguished from authoritative no results.","An offline/failed search looked like a real empty journal result.","Track remote search status separately from result count.","User makes decisions from incomplete data.","Node 22 SearchDialog failure regression passed.",RESOLVED
RV-049,medium,ui-accessibility,"app/src/components/EntryDialog.tsx; app/src/components/EntryDialog.test.tsx","262;61","Migrated/cancelled actionable entries expose no illegal toggle, migration, drop or filing controls; non-actionable entries retain legal filing.","Terminal tasks could still be mutated through an unsupported action.","Derive available controls from canonical type/state legality.","Domain validation errors and misleading controls.","Node 22 state-table component regressions passed.",RESOLVED
RV-050,medium,ui-accessibility,"app/src/styles/tokens.css; app/src/styles/base.css; app/src/styles/layout.css","1;70;40","Control borders/focus rings use corrected AA tokens and safe-area content inset is applied once in the main pane; visual viewport height excludes transient keyboard space.","Low-contrast focus indicators or double top inset reduce accessibility and usable space.","Centralize contrast tokens and separate background safe-area paint from content padding.","WCAG failure or clipped mobile layout.","Final Node 22 app tests, axe scenarios and 48-shot visual release audit passed with zero overflow or dimension mismatches.",RESOLVED
RV-051,medium,ui-accessibility,"app/src/components/dates.ts; app/src/components/dates.test.ts","47;1","Yesterday is computed as a calendar-key predecessor at UTC noon rather than subtracting 24 local hours.","DST transitions can mislabel activity as Yesterday.","Operate on calendar keys, not elapsed milliseconds in the display timezone.","Incorrect activity grouping around DST.","Node 22 date regression suite passed.",RESOLVED
RV-052,high,offline-pwa,"server/src/adapters.ts; server/test/integration/adapters.test.ts","75;181","Owner entry creation resolves today/tomorrow from the request's frozen baseToday even when server wall time has crossed midnight; absolute intent stays exact.","Rebasing a queued date intent at sync time can file an offline entry on a different journal day.","Treat the client-captured date context as canonical after schema validation and make replay hash the full request.","Silent date corruption during offline replay.","Final Node 22 server Vitest passed 17 files/133 tests including stale today, tomorrow and absolute intent assertions.",RESOLVED
RV-053,high,offline-pwa,"server/src/adapters.ts; server/test/integration/adapters.test.ts","314;217","POST /api/capture uses its explicit frozen dateIntent for persistence while still returning the parser's >tomorrow preview metadata.","Re-parsing >tomorrow when a queued capture finally arrives can override its frozen absolute target and shift the entry twice.","Separate parser presentation metadata from the already-captured persistence date intent.","Wrong-day capture after an offline midnight boundary.","Node 22 capture integration asserts parsed dateShift=1 while the committed date remains the frozen absolute date; final full server 17/133 passed.",RESOLVED
RV-054,high,release-contracts,"scripts/release-deployed-tree.mjs; scripts/release-deployed-tree.test.mjs","46;119","Deployed-tree traversal, record sorting and attestation validation share an explicit relational path comparator instead of localeCompare; an identical-fixture regression asserts deterministic mixed-case source ordering.","Locale-sensitive ordering could change the immutable tree digest across hosts without any byte drift.","Use one locale-independent comparator for traversal, records and ordering validation.","Host-dependent release identity or false attestation mismatch.","Final release-tool suite passed 88/88; deployed-tree evidence records 6,040 paths and SHA 72b16666b885f3d38842a185488a3fff77b1581ef3b3b7767f0f2a7623917560, revalidated at promotion.",RESOLVED
RV-055,critical,release-contracts,"scripts/release-lifecycle.zsh; scripts/release-tools.test.mjs","100;1487","Lifecycle opens the stable owner-private nofollow global release lock, acquires lockf before evidence absence, and holds it through terminal validation, both signals, runtime/tree checks and atomic evidence commit.","Lifecycle could interleave with cutover or promotion and signal or attest a runtime whose ownership changed mid-operation.","Serialize every release lifecycle operation on the same stable lock and verify its inode before close.","Cross-operation release corruption or false lifecycle proof.","Final release-tool suite passed 88/88 with ordering and contention assertions; final lifecycle evidence records distinct healthy PID recovery in 62.727ms and 62.745ms.",RESOLVED
RV-056,critical,release-contracts,"scripts/release-atomic-file.mjs; scripts/release-atomic-file.test.mjs","230;126","Atomic-evidence recovery classifies every owner before mutation, preserves a committed two-link winner, removes dead unpublished losers, finalizes the winner and fails closed if any losing owner is live.","A crash with winner and loser residue could block promotion forever or delete the committed evidence bytes.","Recover mixed states by inode/link identity with retry-safe unlinks and a final directory fsync; never guess around live owners.","Lost or ambiguous terminal release evidence.","Final release-tool suite passed 88/88, including committed-winner/dead-loser recovery and live-loser fail-closed tests; final promotion evidence and terminal marker committed successfully.",RESOLVED
RV-057,high,release-contracts,"scripts/release-prepare.zsh; scripts/release-cutover.zsh; scripts/release-tools.test.mjs","62;44;1407","UTC release-stamp components are kept as strings, while zsh file-mode arithmetic uses explicit base-8 literals; the helper smoke test rejects unsafe implicit leading-zero mode expressions.","Timestamp components containing 08/09 or ambiguous leading-zero mode literals can be parsed as invalid octal or evaluated differently by zsh.","Construct release stamps without numeric coercion and use explicit radix notation for octal guards.","Release preparation or ownership validation fails only at particular dates or modes.","Final release-tool suite passed 88/88; final stamp 20260731T182812Z-88ff6fa9bc5d-14233 was prepared and promoted with the guarded helpers.",RESOLVED
RV-058,high,release-contracts,"scripts/release-cutover.zsh; scripts/release-tools.test.mjs","340;1560","Upgrade preflight scopes lsof to the exact launchd PID and TCP 5178, requires one loopback listener, then re-reads launchd PID/cwd to prevent generation drift; the harness injects unrelated same-port PIDs.","A host-wide :5178 query can count Tailscale IPNExtension sockets and falsely reject or misattribute the Journal listener.","Intersect listener inspection with the owned launchd PID and revalidate that process generation after inspection.","False cutover failure or listener-ownership claim.","Final release-tool suite passed 88/88; cutover and promotion evidence bind PID 20167 to only 127.0.0.1:5178 while preserving the complete Serve configuration.",RESOLVED
RV-059,critical,domain-durability,"server/src/jobs/launchd.ts; server/test/install-service.test.ts; scripts/release-cutover.zsh; scripts/release-tools.test.mjs","197;198;585;1473","After bootout, installer and staged cutover require two separated launchctl not-found observations before same-label bootstrap; rollback cleanup repeats the bounded confirmation and refuses bootstrap when absence is unproved.","Asynchronous launchd deregistration can make an immediate bootstrap race the retiring job, including during rollback.","Wait for stable label absence after every accepted bootout and before candidate or rollback bootstrap; fail closed on timeout or unexpected status.","Service outage, failed adoption or rollback into an ambiguous launchd state.","Final server suite passed 17 files/133 tests and release tools passed 88/88, covering delayed absence, timeout, unexpected status and restored-old-job rollback; final upgrade cutover and promotion completed.",RESOLVED
